LOCATION,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,FGM,opposing_team,GAME_CLOCK_sec
H,4,2,4.5,1,1.8,18.3,2,4.3,1,MIL,570
A,21,4,18.1,0,1,26.3,3,4.8,0,CHI,293
A,4,2,8.8,2,2.5,17.8,2,3,0,ORL,109
H,3,1,17.3,0,0.9,19.1,2,9,1,POR,304
A,2,1,18.5,0,1,24.2,3,5.8,0,SAC,620
H,2,4,19.1,3,3.2,24.5,3,5.3,0,PHI,359
A,11,4,15.4,2,3.2,24.5,3,5.2,1,SAC,522
H,4,2,12.3,2,5.3,27.9,3,4.6,0,MEM,243
H,14,4,12.4,2,4,10.8,2,4.7,0,NOP,309
H,9,3,8,0,0.8,20.1,2,5.7,0,MIN,354
A,5,1,15.4,2,3.2,20.9,2,3.5,0,TOR,130
A,2,1,7.9,0,0.8,25.3,3,6.1,1,UTA,214
H,4,1,19,1,1.4,10.2,2,2.2,0,MIL,122
A,2,1,7.6,1,2.2,20.5,2,5.4,0,LAC,447
A,12,4,12.7,9,9.6,25.4,3,5.9,1,LAL,594
A,8,2,13.4,2,2.6,8.4,2,1,1,CLE,23
A,4,1,5.6,0,0.7,3.6,2,4.1,1,BKN,156
A,9,3,13.4,0,1,25.3,3,6.1,0,NYK,394
H,1,2,7,6,6.7,19.8,2,6.2,1,CHI,640
H,14,4,15,2,2.6,8,2,1.1,0,HOU,241
A,3,1,10.4,0,0,2.4,2,1.9,0,SAS,53
A,1,2,6.4,4,5.3,11.5,2,2.2,0,TOR,675
A,7,2,5.9,0,0.4,3.3,2,1,1,NOP,445
H,6,2,17.2,0,1.6,2.1,2,3.1,1,DAL,638
A,14,4,11.7,0,1.4,5.9,2,3.3,1,ATL,528
A,5,2,14.3,1,2.1,19.1,2,1.5,1,POR,457
A,1,1,7.9,0,0.9,16.4,2,4.2,0,IND,625
A,8,3,17.4,0,0.8,23.1,3,4.2,1,CHI,544
A,3,3,15.7,1,2,10,2,2.4,0,MIL,386
A,11,3,18.4,0,0.8,18.9,2,4.8,1,GSW,55
H,5,3,12.9,1,2.1,9.3,2,2.2,0,DET,447
H,4,2,17.5,0,0.8,21.8,2,5.2,0,MIL,682
A,8,4,19.7,0,0.8,2.4,2,3.1,1,DAL,174
H,20,4,1.8,0,0.8,16.4,2,5.4,0,LAL,39
H,6,4,11.9,3,2.6,17.9,2,5.4,0,DAL,569
A,3,2,12.5,0,0.9,23.9,3,6,0,ORL,626
H,3,1,10.7,2,2.1,4.3,2,1.9,1,MIA,332
H,6,3,8.2,0,1,24.6,3,5.1,0,BOS,136
A,7,3,24,0,1.7,2,2,1.1,0,DAL,97
A,4,4,19.5,0,1.2,25.3,3,6.3,0,IND,239
A,8,3,5.2,3,5.1,8.8,2,2.2,0,GSW,146
H,4,2,24,0,0,1.5,2,3.4,0,GSW,487
H,2,1,19.6,0,0.9,23.1,3,5.1,0,ATL,211
A,5,3,24,0,2.7,3.5,2,2.6,0,OKC,369
H,1,1,4.8,5,5.2,8.4,2,2.7,0,MIA,20
A,6,3,11,0,1.2,7.2,2,2.1,1,MIN,302
H,1,1,14.2,0,1.1,22.7,3,4.7,1,ATL,601
H,12,4,8.2,3,5.7,6.7,2,1.6,0,POR,343
H,9,4,15,0,0.7,0.5,2,5.8,1,MIN,71
H,2,1,4.7,2,2.1,7.6,2,4.8,0,MIL,406
H,1,2,18.9,3,3.2,25.6,3,6.9,0,OKC,409
A,16,4,8.8,1,4.1,8.7,2,1.3,0,BOS,572
H,11,4,9,1,2.7,4.2,2,1.5,0,CHA,182
A,2,1,17.8,7,6.9,11.3,2,3.4,1,SAC,182
H,2,2,5.3,1,2.1,24.6,3,5,1,WAS,511
H,8,2,23.3,0,1.5,0.9,2,0.4,1,IND,220
A,6,2,19.4,0,1,24.5,3,7.1,0,IND,584
A,9,4,12.2,0,1,1.2,2,4,1,UTA,708
H,3,1,15.7,2,2.5,2.5,2,3.5,1,DAL,400
H,6,3,10.9,17,12.8,16.3,2,3.3,0,DEN,66
A,6,2,0,1,2.1,25.7,3,5.2,0,POR,0
A,6,4,14.6,0,0.4,3.1,2,4.5,1,PHX,326
H,8,3,18.9,5,5.6,24.1,3,8.4,0,ATL,398
H,16,4,19.8,1,1.8,5.9,2,5,1,GSW,499
H,5,2,7.8,2,3,3.8,2,2,1,PHI,324
A,5,3,16.9,7,6.8,26.1,3,3.4,0,DEN,567
H,2,1,3,0,0.9,16,2,6.2,0,NYK,544
A,15,3,17.8,0,0.7,16.9,2,4.3,0,DEN,241
H,7,2,4.3,2,3.3,4.9,2,1.6,0,IND,355
A,1,1,19.7,2,1.6,2.6,2,0.6,1,OKC,37
A,5,2,21.6,1,1,5.2,2,3.5,1,GSW,376
H,5,4,0,0,1.2,26.7,3,2.8,0,MEM,11
H,3,1,14.4,3,4.1,7.3,2,2.8,0,MEM,197
H,12,3,18.9,5,4.2,18.6,2,2.2,1,GSW,190
A,4,1,16.2,3,3.2,17.7,2,5.8,0,NOP,316
A,2,1,12.1,1,2.8,8,2,5.1,0,LAC,388
H,5,4,13.4,0,0.7,24.5,3,5.7,1,ORL,398
H,5,1,13.1,0,1.9,17.9,2,2.2,1,DAL,174
H,1,2,3.9,0,0.9,25.1,3,5.5,0,MIL,684
H,4,4,24,0,2.2,2,2,3.1,0,MEM,518
H,6,2,2.9,13,14.8,9.7,2,2.1,0,CHI,13
A,3,2,11,1,1.8,20.3,2,3.8,1,WAS,491
A,10,3,10.1,2,3.6,16.1,2,5.1,0,IND,71
H,1,1,12.4,0,0.6,2.9,2,3.9,1,LAC,273
A,9,4,14,11,10.6,10.7,2,3.3,1,HOU,522
H,1,4,12.9,0,0.7,0.5,2,3,1,OKC,172
A,4,2,10.9,5,7.8,10.2,2,2.3,1,PHI,338
H,4,1,16.9,7,7.1,7.7,2,4.1,1,CLE,154
H,5,2,20.1,1,1.4,3,2,3.2,1,POR,242
A,1,1,21.4,2,2.5,2.8,2,2.3,0,NYK,525
A,5,2,4.7,1,1.9,6.6,2,6.5,0,MEM,241
H,8,4,9.1,0,0.8,20,2,4.4,1,BOS,39
A,3,1,14,1,4.6,7.3,2,3.2,1,CHI,364
A,8,3,22.3,0,2.2,4.8,2,1.9,0,TOR,59
A,11,3,6.3,1,2.9,13.9,2,4.2,0,TOR,91
H,2,2,2.6,1,2.4,22.4,2,3.2,0,SAS,662
H,2,1,16.6,0,0.2,6.5,2,1.3,1,BKN,71
H,10,3,0,1,2.4,10.2,2,0.7,0,BKN,1
A,7,3,14.3,0,1,18.2,2,6.4,0,CHA,42
H,6,2,4.4,0,0.6,12.4,2,4.3,1,NOP,261
H,12,4,10.6,2,3.7,4.7,2,2.4,1,ATL,498
A,6,2,13.3,0,1.1,24.8,3,5.6,0,BKN,272
A,1,1,12.3,3,6.7,9.6,2,3.8,0,DET,574
H,3,2,7.1,0,3.4,24.6,3,4.5,1,PHX,529
H,6,3,23.1,1,1.4,1.2,2,1.9,1,PHI,213
A,5,3,24,1,0.9,1.5,2,5.6,1,IND,566
A,5,2,8.6,1,1.4,24,3,2.7,0,NOP,567
H,6,2,10.4,0,0.7,24,3,4.6,1,LAC,167
H,6,3,19,0,0.7,15.1,2,3.2,0,WAS,39
H,13,4,10.8,1,3.4,7.7,2,1,0,NYK,345
A,9,4,16,6,8.1,23.7,3,3.9,1,CLE,169
A,13,3,14.2,2,3.2,12.8,2,3.5,0,NYK,207
A,2,1,3.8,0,1,18.1,2,5.7,0,BOS,663
A,15,4,5,0,0.8,24.8,3,5,0,CLE,489
A,13,5,0,0,1.1,26.2,3,7.6,0,SAC,10
H,20,5,9.1,1,0.8,6.4,2,3,0,CHI,227
H,10,3,14.3,10,10.6,17.1,2,2.7,0,IND,491
A,8,4,14.5,0,0.5,3.3,2,5.1,0,BOS,64
A,6,2,6.9,0,1.5,23,3,5.1,0,POR,308
H,4,1,16.1,7,5.9,11,2,4.4,1,SAC,333
